    date          smb          hml        mktrf          rf          umd
20150316    -0.007600    -0.004100     0.012300     0.00000     0.006200
20150317     0.005400    -0.000300    -0.002000     0.00000     0.002300
20150318    -0.005200    -0.000100     0.010800     0.00000    -0.008300
20150319     0.008800    -0.011000    -0.003600     0.00000     0.009400
20150320    -0.001500     0.005200     0.008100     0.00000    -0.003600
20150323     0.002100     0.002400    -0.001900     0.00000    -0.005100
20150324     0.005800    -0.002800    -0.005100     0.00000    -0.003100
20150325    -0.009800     0.010300    -0.015600     0.00000    -0.012100
20150326     0.001100    -0.000500    -0.002200     0.00000    -0.000200
20150327     0.005000    -0.007000     0.003200     0.00000     0.011600
20150330     0.000200    -0.000300     0.012400     0.00000     0.001900
20150331     0.004200     0.003600    -0.007500     0.00000    -0.002300
20150401     0.003400     0.004100    -0.003800     0.00000    -0.001600
20150402    -0.000800     0.003100     0.003500     0.00000    -0.005700
20150406    -0.002800    -0.001500     0.006100     0.00000    -0.013100
20150407    -0.001900    -0.001500    -0.002200     0.00000    -0.003000
20150408     0.005300    -0.007200     0.003700     0.00000     0.012700
20150409    -0.007000    -0.000600     0.004100     0.00000    -0.008200
20150410    -0.000600    -0.002800     0.004900     0.00000     0.003300
20150413     0.005000     0.002300    -0.003800     0.00000     0.000500
20150414    -0.001900     0.001900     0.001100     0.00000    -0.011800
20150415     0.002300     0.003100     0.005700     0.00000    -0.017500
20150416    -0.000900    -0.002100    -0.000800     0.00000     0.005800
20150417    -0.004600     0.002200    -0.012300     0.00000     0.000900
20150420     0.001700    -0.002500     0.009500     0.00000     0.002900
20150421     0.001900    -0.007500    -0.001000     0.00000     0.013000
20150422    -0.003600     0.001800     0.004600     0.00000    -0.001800
20150423     0.002800    -0.002300     0.002900     0.00000    -0.002500
20150424    -0.005000    -0.002700     0.001700     0.00000     0.003700
20150427    -0.007100     0.005600    -0.005400     0.00000    -0.012700
20150428     0.002100     0.010100     0.002700     0.00000    -0.007500
20150429    -0.007500     0.007400    -0.003800     0.00000    -0.011800
20150430    -0.010700     0.007500    -0.011100     0.00000    -0.011500
20150501    -0.003000    -0.006100     0.010100     0.00000     0.010200
20150504     0.000200     0.002400     0.003200     0.00000     0.002300
20150505    -0.001500     0.005100    -0.011900     0.00000    -0.004400
20150506     0.006300    -0.001400    -0.003100     0.00000     0.004100
20150507     0.000400    -0.004000     0.003900     0.00000     0.008800
20150508    -0.005700    -0.001200     0.012100     0.00000     0.001400
20150511     0.006800    -0.000200    -0.003900     0.00000     0.005800
20150512    -0.000100     0.000700    -0.002700     0.00000    -0.003600
