 DATE      hour minute second       PRICE      SIZE
20100104     9 33 04    57.6600      300
20100104     9 33 04    57.6600      100
20100104     9 33 04    57.6600      100
20100104     9 33 06    57.6800      100
20100104     9 33 06    57.7000      200
20100104     9 33 08    57.6600      200
20100104     9 33 08    57.7000      100
20100104     9 33 11    57.7000      100
20100104     9 33 11    57.6800      400
20100104     9 33 12    57.6600      100
20100104     9 33 12    57.6600      100
20100104     9 33 13    57.6800      100
20100104     9 33 13    57.6600      100
20100104     9 33 13    57.6600      100
20100104     9 33 13    57.6600      100
20100104     9 33 14    57.6800      100
20100104     9 33 14    57.6600      100
20100104     9 33 14    57.6600      100
20100104     9 33 14    57.6800      100
20100104     9 33 14    57.6800      100
20100104     9 33 14    57.6700      100
20100104     9 33 14    57.6800      100
20100104     9 33 15    57.6800      300
20100104     9 33 15    57.6600      100
20100104     9 33 15    57.6800      100
20100104     9 33 15    57.6800      100
20100104     9 33 15    57.6800      300
20100104     9 33 15    57.6800      300
20100104     9 33 17    57.6800      200
20100104     9 33 17    57.6600      400
20100104     9 33 17    57.6900      100
20100104     9 33 17    57.6900      100
20100104     9 33 17    57.6900      100
20100104     9 33 17    57.6800      100
20100104     9 33 18    57.6701      500
20100104     9 33 19    57.6800      100
20100104     9 33 19    57.6700      100
20100104     9 33 20    57.6700      100
20100104     9 33 21    57.7000      200
20100104     9 33 21    57.6700      100
20100104     9 33 21    57.6800      150
20100104     9 33 22    57.6800      100
20100104     9 33 22    57.6700      100
20100104     9 33 22    57.6700      100
20100104     9 33 24    57.6800      100
20100104     9 33 24    57.6700      100
20100104     9 33 25    57.6800      100
20100104     9 33 26    57.6800      100
20100104     9 33 26    57.6800      100
20100104     9 33 26    57.6800      100
20100104     9 33 27    57.6800      100
20100104     9 33 27    57.7000      300
20100104     9 33 27    57.7000      100
20100104     9 33 28    57.6701      101
20100104     9 33 28    57.6701     1000
20100104     9 33 28    57.7000      100
20100104     9 33 29    57.7000      300
20100104     9 33 29    57.7000      100
20100104     9 33 30    57.7000      200
20100104     9 33 31    57.7000      100
20100104     9 33 33    57.7000     1000
20100104     9 33 33    57.7000      400
20100104     9 33 33    57.7000      100
20100104     9 33 33    57.7000      200
20100104     9 33 33    57.7000      100
20100104     9 33 33    57.7000      100
20100104     9 33 42    57.7000      100
20100104     9 33 42    57.7000      100
20100104     9 33 43    57.7000      100
20100104     9 33 43    57.7000      300
20100104     9 33 47    57.7000      100
20100104     9 33 48    57.6900      200
20100104     9 33 48    57.6900      100
20100104     9 33 50    57.6800      100
20100104     9 33 50    57.6800      100
20100104     9 33 50    57.6800      100
20100104     9 33 50    57.6800      700
20100104     9 33 50    57.6800      163
20100104     9 33 50    57.6800      100
20100104     9 33 50    57.6800      100
20100104     9 33 50    57.6800      100
20100104     9 33 51    57.6800      100
20100104     9 33 51    57.6800      100
20100104     9 33 51    57.6900      100
20100104     9 33 53    57.6700      100
20100104     9 33 53    57.6700      100
20100104     9 33 53    57.6800      100
20100104     9 33 53    57.6700      100
20100104     9 33 53    57.6700      100
20100104     9 33 53    57.6800      100
20100104     9 33 53    57.6800      100
20100104     9 33 53    57.6800      100
20100104     9 33 53    57.6800      100
20100104     9 33 53    57.6800      100
20100104     9 33 54    57.6700      100
20100104     9 33 54    57.6700      100
20100104     9 33 54    57.6800      100
20100104     9 33 55    57.6500      100
20100104     9 33 55    57.6800      200
20100104     9 33 55    57.6800      200
20100104     9 33 55    57.6800      300
20100104     9 33 55    57.6500      100
20100104     9 33 58    57.6800      100
20100104     9 33 58    57.6800      100
20100104     9 34 01    57.6900      100
20100104     9 34 02    57.6800      100
20100104     9 34 02    57.6850      100
20100104     9 34 02    57.6800      100
20100104     9 34 04    57.6900      100
20100104     9 34 04    57.6800      100
20100104     9 34 04    57.6800      100
20100104     9 34 05    57.6800      100
20100104     9 34 05    57.6800      200
20100104     9 34 05    57.6700      100
20100104     9 34 05    57.6700      100
20100104     9 34 05    57.6700      100
20100104     9 34 07    57.6800      900
20100104     9 34 09    57.6800      100
20100104     9 34 11    57.6900      100
20100104     9 34 11    57.6900      100
20100104     9 34 11    57.6900      200
20100104     9 34 11    57.6900      100
20100104     9 34 11    57.6900      100
20100104     9 34 11    57.6701     1000
20100104     9 34 12    57.6700      100
20100104     9 34 14    57.6700      100
20100104     9 34 14    57.6700      100
20100104     9 34 14    57.6700      100
20100104     9 34 14    57.6700      100
20100104     9 34 18    57.6600      100
20100104     9 34 18    57.6800      300
